Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifty,zero,four,six,rating,res
Rubel Hossain,2009-2019,101,52,24,140,17,5,249,56.22,0,0,11,14,2,4.562248996,0
Sabbir Rahman,2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24,36.4378125,1
Saiful Islam,1990-1997,7,4,2,37,22,18.5,59,62.71,0,0,0,3,0,12.87711864,0
Sajjad Ahmed,1995-1995,2,2,0,15,11,7.5,46,32.6,0,0,0,0,0,7.826086957,0
Samiur Rahman,1986-1986,2,2,0,4,4,2,7,57.14,0,0,1,0,0,2.571428571,0
Sanwar Hossain,1998-2003,27,27,2,290,52,11.6,597,48.57,0,1,2,23,0,14.67094733,0
Shafiuddin Ahmed,1997-2000,11,10,6,22,11,5.5,66,33.33,0,0,3,1,0,2.933333333,0
Shafiul Islam,2010-2020,60,34,12,134,24,6.09,240,55.83,0,0,9,13,2,6.381862745,0
Shahadat Hossain,2006-2013,51,27,17,79,16,7.9,151,52.31,0,0,3,7,1,4.708363993,0
Shaheedur Rahman,1986-1986,2,2,0,62,37,31,108,57.4,0,0,0,0,0,31.57407407,1
Shahriar Hossain,1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4,36,0,27.26763389,1
Shahriar Nafees,2005-2011,75,75,5,2201,123,31.44,3167,69.49,4,13,11,277,7,45.60164614,1
Shamsur Rahman,2013-2014,10,10,0,266,96,26.6,350,76,0,2,2,23,9,42.16,1
Shakib Al Hasan,2006-2019,206,194,27,6323,134,37.86,7641,82.75,9,47,10,574,42,46.84297341,1
Shariful Haque,1998-1998,1,1,0,10,10,10,6,166.66,0,0,0,0,1,17.66666667,0
Sheikh Salahuddin,1997-1997,6,5,3,24,12,12,136,17.64,0,0,0,0,0,4.976470588,0
Shuvagata Hom,2011-2011,4,3,1,70,35,35,86,81.39,0,0,0,9,0,36.14728682,1
Sohag Gazi,2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0,18,4,18.36384977,0
Sohrawordi Shuvo,2010-2011,17,10,3,98,20,14,135,72.59,0,0,0,9,1,14.72592593,0
Soumya Sarkar,2014-2019,55,54,3,1728,127,33.88,1753,98.57,2,11,5,200,42,52.70796096,1
Subashis Roy,2016-2016,1,1,1,1,1,0,9,11.11,0,0,0,0,0,1.111111111,0
Sunzamul Islam,2017-2018,3,1,0,19,19,19,24,79.16,0,0,0,3,0,31.79166667,1
Syed Rasel,2005-2010,52,27,11,81,15,5.06,185,43.78,0,0,5,7,0,4.474874875,0
Taijul Islam,2014-2020,9,5,1,63,39,15.75,78,80.76,0,0,1,7,1,20.20769231,1
Talha Jubair,2002-2003,6,5,3,5,4,2.5,15,33.33,0,0,2,1,0,2.133333333,0
Tamim Iqbal,2007-2020,207,205,9,7202,158,36.74,9153,78.68,13,47,18,783,91,54.1526995,1
Tanbir Hayder,2016-2016,2,2,0,5,3,2.5,16,31.25,0,0,0,0,0,2.8125,0
Tapash Baisya,2002-2007,56,41,13,336,35,12,576,58.33,0,0,4,26,4,11.9004065,0
Tareq Aziz,2002-2004,10,8,7,26,11,26,73,35.61,0,0,1,2,0,4.606164384,0
Taskin Ahmed,2014-2017,32,16,6,41,14,4.1,99,41.41,0,0,3,2,0,3.476641414,0
Tushar Imran,2001-2007,41,40,0,574,65,14.35,970,59.17,0,2,8,67,1,21.84175258,1
Zahid Razzak,1988-1990,3,3,0,14,6,4.66,44,31.81,0,0,0,0,0,4.984848485,0
Zakir Hossain,1998-1998,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Ziaur Rahman,2013-2014,13,11,0,124,41,11.27,110,112.72,0,0,3,13,6,20.4,1
