Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifty,zero,four,six
Abdur Razzak,2004-2014,153,97,39,779,53,13.43,1020,76.37,0,1,12,55,21
Abul Hasan,2012-2018,7,3,0,11,7,3.66,16,68.75,0,0,0,1,0
Abu Hider,2018-2018,2,1,0,1,1,1,11,9.09,0,0,0,0,0
Afif Hossain,2020-2020,1,1,0,7,7,7,4,175,0,0,0,1,0
Aftab Ahmed,2004-2010,85,85,6,1954,92,24.73,2353,83.04,0,14,8,205,49
Ahmed Kamal,1999-1999,1,1,0,11,11,11,19,57.89,0,0,0,2,0
Akram Khan,1988-2003,44,44,2,976,65,23.23,1721,56.71,0,5,3,73,2
Alok Kapali,2002-2011,69,66,3,1235,115,19.6,1817,67.96,1,5,5,101,10
Al-Amin Hossain,2014-2020,15,7,5,4,2,2,20,20,0,0,2,0,0
Al Sahariar,1999-2003,29,29,1,374,62,13.35,709,52.75,0,2,6,45,1
Aminul Islam,1988-2002,39,39,5,794,70,23.35,1403,56.59,0,3,5,57,2
Aminul Islam,1999-1999,1,1,1,1,1,0,1,100,0,0,0,0,0
Anamul Haque,2012-2019,38,35,0,1052,120,30.05,1488,70.69,3,3,6,103,19
Anisur Rahman,1995-1998,2,2,0,2,2,1,11,18.18,0,0,1,0,0
Anwar Hossain Monir,2002-2002,1,1,1,0,0,0,8,0,0,0,0,0,0
Anwar Hossain,2002-2002,1,1,0,42,42,42,107,39.25,0,0,0,6,0
Arafat Sunny,2014-2015,16,11,7,48,15,12,92,52.17,0,0,1,5,0
Athar Ali Khan,1988-1998,19,19,1,532,82,29.55,945,56.29,0,3,3,46,3
Azhar Hossain,1988-1990,7,7,0,96,54,13.71,266,36.09,0,1,0,5,0
Dhiman Ghosh,2008-2008,14,12,3,126,30,14,201,62.68,0,0,3,9,1
Dolar Mahmud,2008-2009,7,4,0,61,41,15.25,44,138.63,0,0,2,5,4
Ehsanul Haque,2002-2003,6,6,0,57,20,9.5,129,44.18,0,0,1,6,0
